job_id,sentence_id,sentence,source_section
002364201417012,3,直接参与所辖区域业务，尤其是重要客户的业务谈判及签单、新客户拓展等工作,职责描述
002364201417012,4,跟进销售回款，督促区域内销售人员做好应收账款的催收工作,职责描述
002364201417012,5,负责提供区域内市场趋势、需求变化、竞争对手和客户反馈方面的准确信息,职责描述
002364201417012,6,负责相关的市场调研与分析预测工作，提交销售分析和总结报告,职责描述
002364201417012,7,制定所辖区域或产品方向的销售团队建设和人员发展计划，依照销售管理办法和销售政策，制定并执行本区域销售人员的培训、工作考核、核算、奖惩方案,职责描述
002364201418013,1,负责项目前期现场技术考察工作,岗位职责
002364201418013,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201418013,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201418013,4,负责项目现场的组织和管理工作,岗位职责
002364201418013,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201419014,1,负责项目前期现场技术考察工作,岗位职责
002364201419014,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201419014,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201419014,4,负责项目现场的组织和管理工作,岗位职责
002364201419014,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201420015,1,"应用专业知识进行电力系统数据分析处理,逐步理解电网规划相关流程",工作职责
002364201420015,2,参与与客户有关负荷及网架规划的阶段性讨论汇报,工作职责
002364201420015,3,文本编撰直至项目评审.,工作职责
002364201420015,4,开展电力相关专题研究、创新,工作职责
002364201421016,1,负责项目前期现场技术考察工作,岗位职责
002364201421016,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201421016,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201421016,4,负责项目现场的组织和管理工作,岗位职责
002364201421016,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201422017,1,负责项目前期现场技术考察工作,岗位职责
002364201422017,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201422017,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201422017,4,负责项目现场的组织和管理工作,岗位职责
002364201422017,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201423018,1,负责项目前期现场技术考察工作,岗位职责
002364201423018,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201423018,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201423018,4,负责项目现场的组织和管理工作,岗位职责
002364201423018,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201424019,1,负责项目前期现场技术考察工作,岗位职责
002364201424019,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201424019,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201424019,4,负责项目现场的组织和管理工作,岗位职责
002364201424019,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201427020,1,负责项目前期现场技术考察工作,岗位职责
002364201427020,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201427020,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201427020,4,负责项目现场的组织和管理工作,岗位职责
002364201427020,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
002364201428021,1,负责项目前期现场技术考察工作,岗位职责
002364201428021,2,参与电厂项目管理信息平台的设计和建设工作,岗位职责
002364201428021,3,负责各项目电厂管理信息平台后期的运行维护工作,岗位职责
002364201428021,4,负责项目现场的组织和管理工作,岗位职责
002364201428021,5,根据项目要求和系统设计方案，深化设计，绘制施工图,岗位职责
